Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,congruent,0.640946388244629,1
2,unspaced,incongruent,0.743118047714233,1
3,spaced,congruent,0.550684928894043,1
4,spaced,incongruent,0.900507211685181,1
5,unspaced,neutral,0.827795743942261,1
6,spaced,congruent,0.972092151641846,1
7,spaced,incongruent,0.811898946762085,1
8,spaced,neutral,0.824999570846558,1
9,unspaced,congruent,0.710920333862305,1
10,spaced,neutral,0.592875242233276,1
11,unspaced,incongruent,1.19763088226318,1
12,unspaced,neutral,0.895569801330566,1
13,spaced,neutral,0.872362375259399,1
14,unspaced,incongruent,1.11084890365601,1
15,unspaced,neutral,0.847495079040527,1
16,unspaced,congruent,0.563875675201416,1
17,unspaced,neutral,0.892261743545532,1
18,spaced,congruent,0.630510330200195,1
19,unspaced,congruent,0.507835626602173,1
20,spaced,congruent,0.553428411483765,1
21,spaced,incongruent,0.68551778793335,1
22,spaced,incongruent,0.698085308074951,1
23,spaced,neutral,0.703450918197632,1
24,unspaced,incongruent,0.882288694381714,1
25,spaced,incongruent,0.541232824325562,1
26,unspaced,incongruent,0.701122760772705,1
27,spaced,congruent,0.818934917449951,1
28,unspaced,neutral,0.829561710357666,1
29,unspaced,congruent,0.761663675308228,1
30,unspaced,incongruent,0.946323156356812,1
31,spaced,congruent,0.733172655105591,1
32,spaced,neutral,0.817661046981812,1
33,spaced,incongruent,0.924883604049683,1
34,unspaced,neutral,0.991286039352417,1
35,unspaced,congruent,1.08457159996033,1
36,spaced,neutral,0.723695278167725,1
37,spaced,incongruent,1.00130248069763,1
38,unspaced,incongruent,1.51479244232178,1
39,unspaced,neutral,0.729644298553467,1
40,spaced,congruent,1.07735347747803,1
41,unspaced,incongruent,1.19499778747559,1
42,spaced,incongruent,1.52703428268433,1
43,unspaced,congruent,1.07250475883484,1
44,spaced,neutral,0.499835729598999,1
45,spaced,congruent,0.641358852386475,1
46,unspaced,congruent,1.10677719116211,1
47,unspaced,neutral,1.2655782699585,1
48,spaced,neutral,1.24972796440125,1
49,unspaced,congruent,0.550956726074219,1
50,spaced,congruent,0.491568088531494,1
51,unspaced,incongruent,0.663338422775269,1
52,spaced,incongruent,1.11526584625244,1
53,spaced,incongruent,0.722017049789429,1
54,unspaced,neutral,0.563239336013794,1
55,unspaced,neutral,0.587063789367676,1
56,spaced,congruent,0.539792537689209,1
57,spaced,neutral,0.333750247955322,0
58,spaced,neutral,0.775768518447876,1
59,unspaced,congruent,0.803909063339233,1
60,unspaced,incongruent,1.26708245277405,1
1,unspaced,congruent,0.633135318756104,1
2,spaced,neutral,0.517346620559692,1
3,spaced,neutral,0.484799385070801,1
4,unspaced,incongruent,0.790186405181885,1
5,spaced,congruent,0.556648731231689,1
6,unspaced,congruent,0.557782411575317,1
7,spaced,incongruent,0.799279689788818,1
8,unspaced,neutral,0.918481588363647,1
9,spaced,incongruent,0.952258348464966,1
10,unspaced,neutral,1.04026031494141,1
11,spaced,congruent,0.613431453704834,1
12,unspaced,incongruent,0.650471925735474,1
13,unspaced,congruent,0.781593799591064,1
14,spaced,congruent,0.696796417236328,1
15,spaced,congruent,0.838202476501465,1
16,spaced,neutral,0.621787786483765,1
17,unspaced,incongruent,0.79757833480835,1
18,unspaced,incongruent,0.827883720397949,1
19,spaced,neutral,0.710535764694214,1
20,unspaced,congruent,1.16210627555847,1
21,unspaced,neutral,0.769365787506104,1
22,spaced,incongruent,0.686168432235718,1
23,spaced,incongruent,1.01387929916382,1
24,unspaced,neutral,0.766650199890137,1
25,unspaced,incongruent,1.3744900226593,1
26,spaced,incongruent,1.34113740921021,1
27,unspaced,neutral,0.797547578811646,1
28,unspaced,congruent,0.76035475730896,1
29,spaced,congruent,0.688425064086914,1
30,spaced,incongruent,0.969091415405273,1
