Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,congruent,2.20727038383484,1
2,spaced,incongruent,0.861789226531982,0
3,spaced,neutral,0.79502534866333,1
4,spaced,congruent,1.13321399688721,1
5,spaced,congruent,0.533040285110474,1
6,unspaced,congruent,0.517539739608765,1
7,unspaced,incongruent,0.865084648132324,1
8,unspaced,incongruent,1.39924716949463,1
9,spaced,incongruent,0.983482599258423,1
10,unspaced,neutral,0.821187257766724,1
11,unspaced,neutral,0.865981578826904,1
12,spaced,neutral,0.597584247589111,1
13,unspaced,neutral,0.67429518699646,1
14,spaced,incongruent,1.00695824623108,1
15,unspaced,congruent,1.84528374671936,1
16,unspaced,incongruent,2.38551902770996,1
17,unspaced,neutral,1.70086526870728,1
18,spaced,congruent,0.86096453666687,1
19,spaced,incongruent,0.450087785720825,0
20,spaced,neutral,0.63577675819397,1
21,unspaced,congruent,0.971751689910889,1
22,spaced,neutral,0.842321634292603,0
23,unspaced,incongruent,1.57631802558899,1
24,spaced,congruent,0.969253778457642,1
25,spaced,congruent,0.934650897979736,1
26,unspaced,neutral,0.91779351234436,1
27,spaced,neutral,1.42539405822754,1
28,unspaced,congruent,2.5997211933136,1
29,unspaced,neutral,0.968428611755371,1
30,spaced,incongruent,2.67615818977356,1
31,unspaced,congruent,0.960456132888794,1
32,unspaced,incongruent,0.908324241638184,1
33,spaced,congruent,0.890217065811157,1
34,spaced,incongruent,0.782619714736938,1
35,unspaced,incongruent,1.37554049491882,1
36,spaced,neutral,1.04625296592712,1
37,spaced,incongruent,3.54504656791687,1
38,unspaced,neutral,3.0282096862793,1
39,unspaced,incongruent,4.00670552253723,1
40,unspaced,congruent,3.46294975280762,1
41,unspaced,congruent,1.07186365127563,1
42,spaced,neutral,8.50920367240906,1
43,unspaced,neutral,0.967502117156982,1
44,spaced,neutral,0.876352310180664,1
45,unspaced,incongruent,1.66083025932312,1
46,spaced,congruent,0.851625442504883,1
47,spaced,congruent,1.05757117271423,1
48,spaced,incongruent,0.868426561355591,1
49,spaced,congruent,1.05725073814392,1
50,unspaced,congruent,1.00810313224792,1
51,spaced,neutral,1.16619443893433,1
52,spaced,incongruent,1.3249192237854,1
53,unspaced,neutral,0.749679088592529,1
54,spaced,congruent,0.745453596115112,1
55,spaced,neutral,0.779257774353027,1
56,unspaced,congruent,1.01696014404297,1
57,spaced,incongruent,1.30139350891113,1
58,unspaced,incongruent,4.1867995262146,1
59,unspaced,incongruent,2.48775720596313,1
60,unspaced,neutral,1.88446950912476,1
1,spaced,congruent,1.03179955482483,1
2,unspaced,neutral,0.544938325881958,1
3,spaced,neutral,0.551052808761597,1
4,unspaced,incongruent,2.13436675071716,0
5,unspaced,neutral,3.15946483612061,1
6,spaced,incongruent,0.864442110061646,1
7,spaced,congruent,0.748458385467529,1
8,spaced,incongruent,1.10780310630798,1
9,unspaced,incongruent,3.46748447418213,1
10,spaced,neutral,1.31091833114624,1
11,unspaced,congruent,1.57908725738525,1
12,unspaced,congruent,0.875807523727417,1
13,unspaced,congruent,0.942286252975464,1
14,unspaced,incongruent,7.68937206268311,1
15,unspaced,congruent,0.842407941818237,1
16,spaced,incongruent,3.58935689926147,1
17,unspaced,neutral,1.19536280632019,1
18,spaced,congruent,0.797220230102539,1
19,spaced,neutral,0.66476583480835,1
20,spaced,neutral,0.950515747070312,1
21,spaced,congruent,1.06258773803711,1
22,unspaced,incongruent,1.47661232948303,1
23,unspaced,neutral,1.3179759979248,1
24,spaced,incongruent,1.08860874176025,1
25,spaced,congruent,0.850793361663818,1
26,spaced,congruent,0.75085973739624,1
27,spaced,neutral,1.12238955497742,1
28,unspaced,incongruent,1.10769438743591,1
29,unspaced,congruent,1.8406720161438,1
30,unspaced,neutral,0.956875801086426,1
31,unspaced,congruent,2.16238117218018,1
32,spaced,incongruent,1.95629715919495,1
33,spaced,incongruent,1.2113299369812,1
34,unspaced,neutral,0.932220458984375,1
35,unspaced,incongruent,1.79655575752258,1
36,spaced,neutral,1.16254091262817,1
37,spaced,incongruent,1.20267963409424,1
38,unspaced,congruent,1.04831194877625,1
39,unspaced,neutral,1.1425724029541,0
40,spaced,neutral,2.06100964546204,1
41,spaced,congruent,0.870622634887695,1
42,spaced,incongruent,1.18809676170349,1
43,unspaced,incongruent,1.36312627792358,1
44,spaced,congruent,1.29443883895874,1
45,unspaced,incongruent,6.28007435798645,1
46,unspaced,neutral,0.776396751403809,1
47,spaced,neutral,0.919100761413574,1
48,unspaced,congruent,0.593062400817871,1
49,spaced,neutral,0.77822732925415,1
50,spaced,incongruent,1.26779365539551,1
51,spaced,congruent,1.71840691566467,1
52,unspaced,congruent,0.641918897628784,1
53,spaced,neutral,0.978385925292969,1
54,spaced,incongruent,0.802570819854736,1
55,unspaced,neutral,0.437202453613281,0
56,unspaced,incongruent,1.4558687210083,1
57,unspaced,incongruent,1.88769435882568,1
58,spaced,congruent,0.915138959884644,1
59,unspaced,congruent,0.954748868942261,1
60,unspaced,neutral,0.693969249725342,1
1,spaced,incongruent,4.9380464553833,0
2,spaced,congruent,1.72060751914978,1
3,unspaced,incongruent,1.27751445770264,1
4,unspaced,neutral,1.23369312286377,1
5,spaced,congruent,0.676029205322266,1
6,spaced,neutral,0.607649087905884,1
7,spaced,incongruent,0.771893978118896,1
8,unspaced,neutral,1.06192398071289,1
9,unspaced,congruent,0.669298648834229,1
10,unspaced,congruent,0.683578014373779,1
11,spaced,neutral,0.578164577484131,1
12,unspaced,incongruent,0.331001281738281,0
13,spaced,incongruent,0.845497608184814,1
14,spaced,congruent,0.53822660446167,1
15,spaced,incongruent,1.28190803527832,1
16,unspaced,incongruent,1.10781002044678,1
17,unspaced,incongruent,0.632687091827393,0
18,spaced,neutral,1.08571910858154,1
19,spaced,neutral,0.782542705535889,1
20,spaced,congruent,1.01455187797546,1
21,unspaced,congruent,0.892829895019531,1
22,unspaced,neutral,1.24656057357788,1
23,unspaced,neutral,0.964419841766357,1
24,unspaced,congruent,0.863839864730835,0
25,spaced,congruent,0.95175313949585,1
26,unspaced,incongruent,1.00291585922241,1
27,spaced,incongruent,0.953037261962891,1
28,unspaced,congruent,0.811016082763672,1
29,spaced,incongruent,1.06304883956909,1
30,unspaced,congruent,1.44431447982788,1
31,unspaced,incongruent,6.90465497970581,1
32,spaced,congruent,3.31204080581665,1
33,spaced,neutral,0.905704021453857,1
34,spaced,neutral,0.797436237335205,1
35,unspaced,neutral,0.932872772216797,1
36,unspaced,neutral,0.821224212646484,1
37,unspaced,neutral,0.980209589004517,1
38,spaced,incongruent,3.19588708877563,1
39,unspaced,neutral,0.971004009246826,1
40,spaced,congruent,1.39275169372559,1
41,unspaced,incongruent,1.25110507011414,1
42,spaced,incongruent,1.46798467636108,1
43,unspaced,congruent,0.768672704696655,1
44,spaced,congruent,0.835190773010254,1
45,unspaced,congruent,0.761444091796875,1
46,unspaced,incongruent,0.453542947769165,1
47,spaced,neutral,0.820016622543335,1
48,spaced,neutral,0.912975549697876,1
49,unspaced,congruent,0.794271945953369,1
50,spaced,congruent,0.795592784881592,1
51,unspaced,incongruent,2.76133394241333,1
52,spaced,congruent,0.756787300109863,1
53,spaced,incongruent,1.92375254631042,1
54,spaced,incongruent,2.37963485717773,1
55,spaced,neutral,0.804914236068726,1
56,unspaced,incongruent,2.8249523639679,1
57,spaced,neutral,1.20105695724487,0
58,unspaced,neutral,0.939429998397827,0
59,unspaced,neutral,1.42149686813354,1
60,unspaced,congruent,1.054438829422,1
1,unspaced,neutral,1.12106609344482,1
2,unspaced,congruent,0.762256622314453,1
3,spaced,incongruent,0.777238130569458,1
4,unspaced,incongruent,0.835375785827637,1
5,spaced,congruent,0.671505451202393,1
6,unspaced,incongruent,0.802372932434082,1
