Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,neutral,2.14941167831421,1
2,spaced,incongruent,0.86068058013916,1
3,unspaced,congruent,1.00884413719177,1
4,unspaced,incongruent,0.992277860641479,1
5,unspaced,neutral,0.903908014297485,1
6,spaced,congruent,0.667133569717407,1
7,spaced,incongruent,1.05430245399475,1
8,spaced,neutral,1.03339457511902,1
9,unspaced,congruent,1.14896845817566,1
10,spaced,neutral,0.807581186294556,1
11,unspaced,incongruent,0.945000648498535,1
12,spaced,congruent,0.823278665542603,1
13,spaced,congruent,0.629829883575439,1
14,unspaced,neutral,0.78796648979187,1
15,spaced,neutral,0.937008619308472,1
16,unspaced,congruent,1.10126066207886,1
17,unspaced,neutral,0.96916937828064,1
18,spaced,incongruent,0.775425672531128,1
19,unspaced,congruent,1.06133127212524,1
20,unspaced,incongruent,0.92189621925354,1
21,spaced,congruent,0.954634666442871,1
22,spaced,incongruent,0.764488935470581,1
23,unspaced,incongruent,0.931002378463745,1
24,spaced,neutral,0.811751365661621,1
25,spaced,incongruent,0.764890432357788,1
26,unspaced,neutral,1.06312251091003,1
27,unspaced,incongruent,0.80776309967041,1
28,unspaced,congruent,0.943965673446655,1
29,unspaced,congruent,0.726834058761597,1
30,spaced,neutral,0.867068529129028,1
31,unspaced,neutral,0.982537508010864,1
32,spaced,neutral,0.891757249832153,1
33,unspaced,incongruent,1.10288786888123,1
34,spaced,congruent,1.03994369506836,1
35,spaced,congruent,1.02946949005127,1
36,spaced,incongruent,0.82265043258667,1
37,spaced,congruent,0.904507637023926,1
38,unspaced,congruent,0.898325204849243,1
39,spaced,neutral,0.869744539260864,1
40,spaced,incongruent,0.816386461257935,1
41,unspaced,neutral,0.825335741043091,1
42,spaced,congruent,0.838627576828003,1
43,spaced,neutral,1.00292158126831,1
44,unspaced,congruent,0.834991693496704,1
45,spaced,incongruent,0.770510673522949,1
46,unspaced,incongruent,1.03182888031006,1
47,unspaced,incongruent,0.920319318771362,1
48,unspaced,neutral,0.776895523071289,1
49,spaced,congruent,1.0017364025116,1
50,unspaced,neutral,0.996007204055786,1
51,spaced,neutral,0.909879446029663,1
52,unspaced,incongruent,1.012615442276,1
53,unspaced,neutral,0.899821519851685,1
54,spaced,incongruent,1.03992962837219,1
55,spaced,congruent,1.175377368927,1
56,spaced,incongruent,0.975873708724976,1
57,unspaced,incongruent,0.962120056152344,1
58,spaced,neutral,0.844229459762573,1
59,unspaced,congruent,1.08770966529846,1
60,unspaced,congruent,0.907779216766357,1
1,unspaced,congruent,3.07893466949463,1
2,unspaced,incongruent,0.99291205406189,1
3,unspaced,congruent,1.84942722320557,1
4,spaced,incongruent,1.11009335517883,1
5,unspaced,neutral,0.969603776931763,1
6,spaced,congruent,0.975469827651978,1
7,spaced,neutral,0.92899489402771,1
8,spaced,neutral,1.06521558761597,1
9,spaced,congruent,0.826590299606323,1
10,unspaced,incongruent,1.47162914276123,1
11,unspaced,neutral,0.931392192840576,1
12,spaced,incongruent,0.656292676925659,1
13,spaced,congruent,1.26044321060181,1
14,spaced,congruent,0.944300174713135,1
15,spaced,neutral,1.55833578109741,1
16,unspaced,incongruent,1.12799572944641,1
17,unspaced,congruent,1.02812123298645,1
18,unspaced,neutral,0.902801752090454,1
19,unspaced,congruent,0.929636001586914,1
20,spaced,incongruent,1.01799511909485,1
21,spaced,incongruent,0.818934440612793,1
22,unspaced,neutral,0.954759359359741,1
23,unspaced,incongruent,0.955222606658936,1
24,spaced,neutral,1.04909801483154,1
25,spaced,incongruent,0.862254619598389,1
26,unspaced,congruent,1.41073250770569,1
27,unspaced,neutral,1.11376857757568,1
28,spaced,neutral,0.921856164932251,1
29,spaced,congruent,0.611289978027344,1
30,spaced,incongruent,0.949504375457764,1
31,unspaced,incongruent,0.746377468109131,1
32,spaced,congruent,1.08573389053345,1
33,unspaced,incongruent,0.778123140335083,1
34,unspaced,neutral,0.698722362518311,1
35,spaced,neutral,0.643545866012573,1
36,unspaced,congruent,0.722716808319092,1
37,spaced,neutral,1.20682096481323,1
38,spaced,incongruent,0.945082902908325,1
39,spaced,congruent,0.849488019943237,1
40,unspaced,congruent,0.775472402572632,1
41,spaced,neutral,1.48475050926208,1
42,spaced,incongruent,0.76528787612915,1
43,unspaced,neutral,1.24911594390869,1
44,unspaced,incongruent,0.918863296508789,1
45,unspaced,incongruent,0.911344766616821,1
46,spaced,congruent,1.04730463027954,1
47,unspaced,congruent,0.908559083938599,1
48,unspaced,neutral,0.735796928405762,1
49,spaced,incongruent,0.771079778671265,1
50,spaced,congruent,0.873858451843262,1
51,unspaced,incongruent,1.34993410110474,1
52,unspaced,neutral,1.76383066177368,1
53,spaced,congruent,5.69105648994446,0
54,spaced,neutral,1.40001082420349,0
55,spaced,incongruent,0.666823863983154,1
56,unspaced,neutral,1.19311547279358,1
57,unspaced,congruent,0.990461349487305,1
58,unspaced,congruent,0.799400568008423,1
59,spaced,neutral,0.799031257629395,1
60,unspaced,incongruent,0.827533006668091,1
1,spaced,incongruent,1.03396201133728,1
2,spaced,congruent,1.10050201416016,1
3,spaced,incongruent,1.2177414894104,1
4,unspaced,incongruent,0.782074689865112,1
5,unspaced,incongruent,1.03050231933594,1
6,spaced,neutral,0.6592698097229,1
7,spaced,neutral,0.880979299545288,1
8,spaced,congruent,0.887600898742676,1
9,unspaced,congruent,2.18495440483093,1
10,unspaced,neutral,0.638280630111694,1
11,unspaced,neutral,1.06866407394409,1
12,unspaced,congruent,0.570362329483032,1
13,spaced,congruent,0.993911266326904,1
14,unspaced,incongruent,1.0385274887085,1
15,spaced,incongruent,0.843793630599976,1
16,unspaced,congruent,0.697952032089233,1
17,spaced,incongruent,1.05295348167419,1
18,unspaced,congruent,0.944437980651855,1
19,unspaced,incongruent,0.864320516586304,1
20,spaced,congruent,0.965206861495972,1
21,spaced,neutral,0.888577461242676,1
22,spaced,neutral,1.04262924194336,1
23,unspaced,neutral,0.968294382095337,1
24,unspaced,neutral,0.836225509643555,1
25,unspaced,neutral,0.850118398666382,1
26,spaced,incongruent,0.634053707122803,1
27,unspaced,neutral,1.0526864528656,1
28,spaced,congruent,0.899351358413696,1
29,unspaced,incongruent,0.862851619720459,1
30,spaced,incongruent,0.787249565124512,1
31,unspaced,congruent,0.87371039390564,1
32,spaced,congruent,0.684900522232056,1
33,unspaced,congruent,0.923746824264526,1
34,unspaced,incongruent,0.659706115722656,1
35,spaced,neutral,0.829997301101685,1
36,spaced,neutral,0.919646501541138,1
37,unspaced,congruent,0.639010906219482,1
38,spaced,congruent,0.91567850112915,1
39,unspaced,incongruent,1.06069898605347,1
40,spaced,congruent,1.06545042991638,1
41,spaced,incongruent,0.659608125686646,1
42,spaced,incongruent,0.941271305084229,1
43,spaced,neutral,0.68647313117981,1
44,unspaced,incongruent,0.893075227737427,1
45,spaced,neutral,0.873184442520142,1
46,unspaced,neutral,0.667854785919189,1
47,unspaced,neutral,0.9850754737854,1
48,unspaced,congruent,0.953694343566895,1
49,unspaced,neutral,0.60123610496521,1
50,unspaced,congruent,0.920127391815186,0
51,spaced,incongruent,0.828616619110107,1
52,unspaced,incongruent,0.840397834777832,1
53,spaced,congruent,0.780285835266113,1
54,unspaced,incongruent,1.03945469856262,1
55,spaced,congruent,0.714381694793701,1
56,unspaced,congruent,0.930335760116577,1
57,spaced,incongruent,0.64532995223999,1
58,spaced,neutral,0.527944564819336,0
59,unspaced,neutral,1.24893379211426,0
60,spaced,neutral,0.783214330673218,1
1,spaced,incongruent,2.28628134727478,1
2,unspaced,neutral,1.41254854202271,1
3,unspaced,incongruent,1.08163380622864,1
4,spaced,incongruent,0.846052885055542,1
5,unspaced,incongruent,1.21086645126343,1
6,unspaced,congruent,0.641096591949463,1
7,unspaced,congruent,0.57096266746521,1
8,spaced,neutral,0.898362874984741,1
9,unspaced,neutral,0.737136602401733,1
10,spaced,congruent,0.547353744506836,1
11,spaced,neutral,0.535761833190918,1
12,spaced,congruent,0.865443706512451,1
13,spaced,neutral,0.824097156524658,1
14,spaced,congruent,0.620365619659424,1
15,unspaced,neutral,0.614250898361206,1
16,spaced,congruent,1.07256960868835,1
17,unspaced,incongruent,1.06417107582092,1
18,unspaced,neutral,0.824409246444702,1
19,spaced,incongruent,1.00821709632874,1
20,unspaced,congruent,0.750980615615845,1
21,unspaced,congruent,0.862866163253784,1
22,spaced,neutral,0.917160272598267,1
23,spaced,incongruent,0.693244934082031,1
24,unspaced,incongruent,0.789667367935181,1
25,spaced,neutral,0.558454275131226,1
26,unspaced,incongruent,0.793249845504761,1
27,spaced,congruent,1.26405644416809,1
28,unspaced,incongruent,1.17738604545593,0
29,spaced,incongruent,0.753086090087891,1
30,unspaced,congruent,0.646012783050537,1
31,spaced,congruent,1.27586555480957,1
32,spaced,incongruent,0.646774291992188,1
33,spaced,neutral,0.622969388961792,1
34,unspaced,neutral,0.887010812759399,1
35,unspaced,congruent,1.55725693702698,1
36,unspaced,neutral,0.648375988006592,1
37,spaced,congruent,0.62978458404541,1
38,spaced,congruent,1.03526449203491,1
39,unspaced,incongruent,1.01876282691956,1
40,spaced,incongruent,0.896028757095337,1
41,unspaced,neutral,5.40367126464844,1
42,unspaced,neutral,0.687486886978149,1
43,unspaced,incongruent,1.10883331298828,1
44,spaced,neutral,0.814405679702759,0
45,spaced,neutral,1.01239633560181,1
46,spaced,incongruent,0.979986667633057,1
47,unspaced,congruent,1.50965762138367,1
48,unspaced,congruent,0.923615217208862,1
49,spaced,incongruent,0.917669773101807,1
50,unspaced,incongruent,0.976467609405518,1
51,unspaced,neutral,0.776050806045532,1
52,unspaced,incongruent,1.43214559555054,1
53,unspaced,neutral,0.824522972106934,1
54,spaced,congruent,0.614058017730713,1
55,spaced,neutral,0.569493770599365,1
56,spaced,congruent,0.899850368499756,1
57,unspaced,congruent,0.732086420059204,1
58,spaced,incongruent,0.565390825271606,1
59,unspaced,congruent,0.824862718582153,1
60,spaced,neutral,1.06238961219788,1
